,month,value_mean,price_weight_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_value,standard_value,morning_value,evening_value,price_median,off_price_median,standard_price_median,morning_price_median,evening_price_median,price_stdev,off_price_stdev,standard_price_stdev,morning_price_stdev,evening_price_stdev,volume,off_volume,standard_volume,morning_volume,evening_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_power,standard_power,morning_power,evening_power
0,1,36736.89592592592,52.649319228540755,64.7088888888889,0.32407407407407407,24.780028328924164,92.17592592592592,0.09259259259259259,29.326598324514993,11.189540877604603,33.89437705151991,47.13671111111111,30.52,222329.3825,529638.6799999999,200139.1275,39789.0,25.166666666666668,7.5,36.81818181818182,56.666666666666664,31.0,17.34585565306508,11.558887520262413,22.852743914238676,38.04424144407476,34.29555955813238,18020.5,6278.0,8842.5,2363.5,536.5,991896.19,291.0,234.25,56.25,37.5,19.278520237442578,33.54829824748417,37.15652173913043,12.61620082815735
1,2,19875.203296703297,53.77945542429923,54.99175824175824,0.26373626373626374,16.36500457875458,59.73626373626374,0.21978021978021978,15.537990580847723,9.084766190499868,20.81379453879454,27.28125,21.305078125,91507.2175,264832.35750000004,65151.0,30670.3,9.166666666666666,4.375,11.051948051948052,0.0,0.0,16.940431039952433,10.692165471985474,23.948192714570133,33.65512499266055,34.36460526231998,8126.0,2756.5,4097.0,870.5,402.0,452160.875,246.5,200.5,48.0,32.0,9.909367395306514,18.68552735610373,18.641666666666666,11.649999999999999
2,3,23101.633297872337,51.506887090858086,56.16404255319149,0.7553191489361702,19.001404002026344,61.351063829787236,1.2872340425531914,19.249962006079027,11.131785304547352,22.114702581369247,38.331739130434784,20.628115942028984,101421.79000000001,258634.3075,139132.52250000002,43699.7625,18.75,7.5,12.727272727272727,28.333333333333332,0.0,17.827136054452918,12.296536817610795,21.995363698936394,36.18102818051086,33.09852317104204,10046.0,3020.0,4621.75,1806.75,597.5,542888.3825,240.75,210.75,51.75,34.5,9.47784456723346,16.74063200210887,26.56538208168643,13.195158102766797
3,4,21430.716404494382,56.42311031029173,65.7343820224719,0.8726966292134831,18.802697431781702,58.93258426966292,1.5168539325842696,18.829668271803104,10.979953924958057,22.721971664698938,31.772135416666668,35.656171875,98967.37,328159.2,108528.10333333333,100123.24666666666,15.05,5.5,16.818181818181817,0.0,0.0,18.19468095780009,14.991862988520293,21.27372127661024,39.36092229174586,49.442627957251595,12811.666666666666,3596.0,6675.666666666667,1466.3333333333333,1073.6666666666667,635777.92,310.6666666666667,265.0,64.0,42.666666666666664,11.609953345838571,25.07835875090777,22.698989898989897,25.332575757575757
4,5,14736.321149425286,54.96002783546091,65.66206896551725,0.5287356321839081,13.402364805692391,49.47126436781609,1.4367816091954022,13.422229064039408,5.691248634732407,17.757849137164207,22.586277777777777,43.35491666666667,76229.46333333333,216314.88,70771.54666666668,64037.42333333334,12.875,2.5,11.818181818181818,0.0,0.0,13.393217659584144,7.686149064214409,19.176177337378657,31.170383210483426,76.74425408564753,8949.166666666666,2838.4,4755.0,910.4333333333334,445.3333333333333,427353.3133333333,317.3333333333333,250.33333333333334,60.0,40.0,8.489393419660978,19.311795470411187,14.716137566137567,11.808201058201059
5,6,34660.71264367816,84.82101679510204,124.35632183908046,1.7378160919540229,31.75623864258347,61.39080459770115,0.6666666666666666,15.353229337712097,14.941930076628353,39.6338,46.513544973544974,75.52931216931216,177896.25,470784.83,134412.10666666666,222067.47999999998,19.833333333333332,5.0,32.557,21.666666666666668,66.46666666666667,38.23995629390075,25.617925238637902,52.38387775755933,56.082285385000716,71.90997947244277,10248.333333333334,2492.6666666666665,5302.666666666667,1087.3333333333333,1365.6666666666667,1005160.6666666666,301.0,242.0,63.0,63.0,8.202577444562563,21.798262548262546,16.635832004253057,22.039606592238172
6,7,33785.428181818184,80.45406287473504,123.09779220779221,0.0,31.55154761904762,75.17792207792208,0.0,21.180145330859617,12.650522186147185,35.54542910447761,56.30166666666667,83.71755952380953,110715.84333333334,401515.85000000003,181726.88,173200.75,29.6135,2.5,42.5,64.83333333333334,73.36666666666666,24.43419664831797,16.991521430789152,24.605267301549336,41.13683091067829,75.64372958582197,12151.866666666667,3087.6666666666665,6034.666666666667,2081.3333333333335,948.1999999999999,867159.3233333334,261.0,216.0,56.0,56.0,10.22172809469284,23.99915197892297,31.722880983750546,17.85498462889767
7,8,87886.45689655172,73.63603270116019,130.15241379310345,1.7011494252873562,42.0762521893815,105.48275862068965,2.1494252873563218,41.90410509031199,15.865231116584566,45.88494256756756,88.8547311827957,118.08118279569892,281751.8133333333,1084376.2833333334,501009.57666666666,681569.5766666667,30.30541666666667,10.666666666666666,44.495,65.03833333333333,115.36666666666667,37.31370214492901,15.91586788098183,36.188720537548335,70.19364313676702,96.9528862655801,28075.333333333332,7966.666666666667,13431.666666666666,3595.3333333333335,3081.6666666666665,2548707.25,305.0,238.66666666666666,62.0,62.0,27.91470213104454,57.89844968600109,58.85377585377586,51.452520189362296
8,9,33587.22655555556,58.42843098813975,80.57511111111111,0.7444444444444445,22.536500925925928,82.94444444444444,0.17777777777777778,26.993571428571432,10.18380286576169,30.569642024642025,38.857070707070704,39.110757575757575,121257.91666666667,649243.9366666666,177131.66333333333,59983.28,17.653750000000002,6.125,34.388636363636365,41.61833333333334,0.0,20.760284556943773,10.826116631316216,23.0502100665498,42.18985607621429,61.75999781562884,18450.333333333332,4591.333333333333,10966.0,2405.6666666666665,487.3333333333333,1007616.7966666667,309.0,270.0,66.0,44.0,14.858683926645092,40.614814814814814,36.44949494949495,11.075757575757576
9,10,33542.73346666667,65.95538660998113,68.22666666666667,1.6229333333333333,22.17779,78.29333333333334,1.3466666666666667,27.199873015873013,10.620642609351433,27.926623376623375,48.33403846153846,39.07692307692308,162081.9,443987.0633333333,167181.70666666667,65317.666666666664,17.25,3.66125,22.277272727272727,51.0,0.0,22.66336281062327,13.499756962626753,26.394510599235637,53.38641002047534,68.42301990625674,15659.0,5701.666666666667,7299.666666666667,2052.0,605.6666666666666,838568.3366666666,269.0,218.66666666666666,52.0,34.666666666666664,17.839995753039233,26.547908580114548,31.524531024531026,13.81060606060606
