year,month,volume_mean,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,price_stdev,standard_price_stdev,off_price_stdev,morning_price_stdev,evening_price_stdev,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power,off_price_diff,morning_price_diff,standard_price_diff,evening_price_diff
2020,1,978.7096774193549,53264.826129032255,62.0,0.0,30.432822580645162,129.1290322580645,0.0,42.815668202764975,18.086850094876663,41.96814814814815,35.210434782608694,25.0,10.096774193548388,10.407407407407407,3.0,2.0,361535.32,1042718.7999999999,188655.49,58300.0,68.63636363636364,38.0,89.57,85.0,0.0,0.0,0.0,0.0,15.545719186062689,23.32772103888987,9.411741686305659,33.978019756455026,37.590799164399016,30340.0,2357.0,684.0,16065.0,11234.0,1651209.6099999999,313,281.0,69.0,46.0,54.423520435069214,32.18224319031511,64.90624338624337,80.04051336444633,85.23391812865498,35.891373801916934,34.15942028985507,57.170818505338076,14.869565217391305,,,,
2020,2,292.9655172413793,15607.950689655172,46.041666666666664,0.0,14.46044129720854,47.93103448275862,0.6896551724137931,12.684852216748768,12.403550921694938,17.936493506493505,2.833333333333333,35.475,10.827586206896552,10.2,3.0,2.0,117879.87,271845.7,3825.0,59080.0,62.72727272727273,30.625,28.333333333333332,120.0,0.0,0.0,0.0,0.0,15.780816489517948,23.498321951502394,11.215109741741623,8.72081599272381,45.238105444531236,8496.0,45.0,690.0,3927.0,3834.0,452630.57,314,255.0,60.0,40.0,53.27572622410546,30.74592331768388,69.22477718360072,85.0,85.6231884057971,12.210191082802547,0.75,15.4,17.25,-5.683299173181725,-32.37710144927536,-24.031654641654647,10.475000000000001
2020,3,502.16129032258067,29510.707741935483,61.07750000000001,0.0,23.43884024577573,60.354838709677416,1.2903225806451613,22.526958525345623,10.69799104753564,30.461413586413585,48.19075757575758,29.67681818181818,10.612903225806452,10.384615384615385,3.0,2.0,128924.0,512469.13,191799.26,81639.55,69.73545454545454,30.0,109.33,155.39,0.0,0.0,0.0,0.0,20.367341061427883,25.05718150863723,9.273196698060337,40.13665293621976,44.07871977511356,15567.0,2311.0,834.0,8087.0,4335.0,914831.94,329,270.0,66.0,44.0,58.767388706879935,29.740253748558246,63.36949795968839,82.99405452185202,97.88914868105516,13.17629179331307,35.015151515151516,29.951851851851853,18.954545454545453,-1.7055598741592988,45.357424242424244,12.52492007992008,-5.7981818181818205
2020,4,650.5,23761.84,43.06375,0.0,17.763351190476193,76.33333333333333,3.5,28.217658730158732,9.226423202614379,20.52671828171828,22.731363636363636,46.51863636363636,10.3,10.384615384615385,3.0,2.0,144801.34,344819.76,102710.3,120523.8,48.82272727272727,25.0,60.0,85.0,0.0,0.0,0.0,0.0,11.979005548826745,12.995231735074276,9.038686600091381,24.981824136867733,35.330176538512,19515.0,1923.0,1672.0,9685.0,6235.0,712855.2,309,270.0,66.0,44.0,36.52857801691007,23.223951884522855,35.603485802787816,53.41149245969839,72.08361244019139,20.17799352750809,29.136363636363637,35.870370370370374,38.0,-1.4715678449212604,-25.459393939393944,-9.934695304695303,16.84181818181818
2020,5,457.93548387096774,15577.333548387098,35.041666666666664,0.0,12.076539938556069,54.516129032258064,4.032258064516129,19.92058371735791,5.744092468252809,18.72636863136863,11.167142857142856,19.0,10.903225806451612,10.23076923076923,3.0,2.0,147689.92,292150.28,23936.14,19121.0,47.925714285714285,25.0,50.51,85.0,0.0,0.0,0.0,0.0,10.770809418175684,16.041376308285773,7.6624197359264645,18.573290388970282,32.42105797163319,14196.0,476.0,231.0,7417.0,6072.0,482897.34,338,266.0,63.0,42.0,34.01643702451395,24.323109354413706,39.38927868410409,50.28600840336134,82.77489177489177,17.964497041420117,7.555555555555555,27.883458646616543,5.5,-3.48233073436157,-11.56422077922078,-1.800349650349652,-27.51863636363636
2020,6,241.03333333333333,12926.578333333333,58.8,0.0,13.727482142857143,48.7,0.0,10.554603174603175,3.5908333333333333,19.995192307692307,16.785757575757575,33.60757575757576,10.166666666666666,9.692307692307692,3.0,3.0,15565.0,262440.73,41786.12,68005.5,48.9,20.0,65.0,161.66666666666666,0.0,0.0,0.0,0.0,15.12394689569284,18.327130337331553,5.016835807856233,23.58823707348068,49.23580657275403,7231.0,697.0,611.0,5156.0,767.0,387797.35,305,252.0,66.0,66.0,53.62983681371871,20.29335071707953,50.900064003103175,59.95139167862267,111.30196399345336,2.5147540983606556,10.56060606060606,20.46031746031746,9.257575757575758,-2.153259134919476,5.618614718614719,1.2688236763236773,14.60757575757576
2020,7,598.3548387096774,29771.077741935485,49.967,0.0,28.288151305683563,91.06451612903226,0.0,26.548463901689708,5.189146505376344,38.75814814814815,59.678550724637674,49.7804347826087,9.96774193548387,9.703703703703704,3.0,3.0,70644.0,490917.09,289733.18,71609.14,53.6,20.25,70.0,136.06,0.0,0.0,0.0,0.0,15.620005186735295,15.272795186977458,6.62398267965569,16.388032552306008,41.33061440598372,18549.0,4436.0,573.0,9947.0,3593.0,922903.41,309,262.0,69.0,69.0,49.7548875950186,19.661564152518785,49.35328139137429,65.3140622182146,124.97232111692844,11.627831715210355,64.28985507246377,37.965648854961835,8.304347826086957,1.598313172043011,42.8927931488801,18.762955840455845,16.172859025032942
2020,8,736.516129032258,36078.176451612904,53.638999999999996,0.0,24.54270238095238,85.12903225806451,1.5483870967741935,32.49781105990783,7.451395929339478,31.389125,47.00730158730158,60.24285714285714,10.741935483870968,9.615384615384615,3.0,3.0,92834.97,645575.62,210031.58000000002,169981.3,57.1,47.0,68.33333333333333,119.33333333333333,0.0,0.0,0.0,0.0,17.160586297216366,18.511936281390177,10.435590266332975,23.166108161590227,52.290433736176446,22832.0,3403.0,1445.0,13532.0,4452.0,1118423.47,333,250.0,63.0,63.0,48.984910213735105,20.852419137466306,47.707332249482704,61.719535703790775,117.63411764705882,13.36936936936937,54.01587301587302,54.128,22.936507936507937,2.2622494239631337,-12.67124913733609,-7.369023148148152,10.46242236024844
2020,9,1090.0,47734.53333333333,51.95,0.0,28.120825793650795,123.13333333333334,0.5333333333333333,47.60063492063492,13.765793237807943,37.13643356643357,50.73757575757576,49.09090909090909,10.3,10.384615384615385,3.0,2.0,193226.81,893858.41,292660.78,52290.0,58.18181818181818,24.49375,65.0,90.0,0.0,0.0,0.0,0.0,16.84816981042129,17.273808117661535,8.7921807700967,19.42628190786463,41.45095678246545,32700.0,4880.0,581.0,18838.0,8401.0,1432036.0,309,270.0,66.0,44.0,43.7931498470948,23.000453517438398,47.44975103514174,59.97147131147542,90.0,27.187702265372167,73.93939393939394,69.77037037037037,13.204545454545455,6.314397308468465,3.7302741702741784,5.747308566433567,-11.151948051948047
2020,10,1262.1290322580646,59679.03193548387,66.25,0.0,32.349913210445465,135.58064516129033,3.2580645161290325,53.988133640552995,15.898944071425095,40.229076479076475,48.98787878787879,71.70454545454545,10.387096774193548,10.25925925925926,3.0,2.0,380002.69,1019663.42,285080.88,165303.0,61.36363636363637,31.322499999999998,70.0,299.0,0.0,0.0,0.0,0.0,18.360438971341175,21.37751827210067,9.727703795151344,27.00668284031784,79.03806483360214,39126.0,4353.0,1691.0,17974.0,15108.0,1850049.99,322,277.0,66.0,44.0,47.28441420027603,25.15241527667461,56.72991098253032,65.49066850447967,97.75458308693081,46.91925465838509,65.95454545454545,64.88808664259928,38.43181818181818,2.1331508336171527,-1.74969696969697,3.0926429126429085,22.61363636363636
