Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1, -   , -   , -   , -   , -   , -   , 58.71 , 227.63 , 381.08 , 539.05 , 601.36 , 630.52 , 629.77 , 625.79 , 561.65 , 516.43 , 422.41 , 355.29 , 66.41 , -   , -   , -   , -   , -   
2, -   , -   , -   , -   , -   , -   , 29.62 , 246.67 , 405.34 , 486.61 , 537.71 , 552.73 , 559.63 , 548.34 , 497.33 , 444.26 , 373.09 , 289.97 , 44.31 , -   , -   , -   , -   , -   
3, -   , -   , -   , -   , -   , -   , 30.20 , 241.39 , 390.47 , 512.47 , 577.95 , 605.68 , 610.58 , 602.59 , 684.22 , 556.38 , 532.92 , 318.63 , 9.31 , -   , -   , -   , -   , -   
4, -   , -   , -   , -   , -   , -   , 13.60 , 295.14 , 469.49 , 546.87 , 590.79 , 599.56 , 608.78 , 632.10 , 635.73 , 648.06 , 631.50 , 205.02 , -   , -   , -   , -   , -   , -   
5, -   , -   , -   , -   , -   , -   , 1.90 , 295.79 , 485.30 , 561.33 , 593.73 , 608.55 , 622.49 , 642.45 , 665.47 , 665.05 , 575.71 , 99.81 , -   , -   , -   , -   , -   , -   
6, -   , -   , -   , -   , -   , -   , 0.23 , 213.30 , 434.14 , 524.61 , 568.08 , 592.26 , 604.85 , 608.18 , 608.42 , 639.52 , 537.13 , 81.64 , -   , -   , -   , -   , -   , -   
7, -   , -   , -   , -   , -   , -   , -   , 186.12 , 422.09 , 520.97 , 562.58 , 581.25 , 599.98 , 621.14 , 642.00 , 651.00 , 591.48 , 126.43 , -   , -   , -   , -   , -   , -   
8, -   , -   , -   , -   , -   , -   , 8.84 , 264.38 , 492.85 , 593.43 , 637.57 , 658.14 , 676.16 , 673.41 , 678.69 , 681.57 , 646.96 , 182.85 , 3.39 , -   , -   , -   , -   , -   
9, -   , -   , -   , -   , -   , -   , 35.80 , 280.05 , 480.85 , 595.69 , 644.29 , 677.00 , 682.10 , 686.87 , 677.72 , 650.79 , 591.09 , 173.45 , 2.33 , -   , -   , -   , -   , -   
10, -   , -   , -   , -   , -   , -   , 115.91 , 367.18 , 540.59 , 636.88 , 690.90 , 701.78 , 702.39 , 693.79 , 679.04 , 580.74 , 531.20 , 195.29 , 0.28 , -   , -   , -   , -   , -   
11, -   , -   , -   , -   , -   , 3.78 , 160.98 , 347.64 , 468.75 , 575.20 , 603.35 , 601.33 , 610.62 , 589.31 , 534.69 , 462.07 , 405.63 , 213.50 , 6.76 , -   , -   , -   , -   , -   
12, -   , -   , -   , -   , -   , 0.15 , 134.22 , 338.97 , 456.27 , 559.14 , 623.77 , 604.53 , 601.00 , 556.13 , 526.01 , 512.00 , 432.92 , 328.24 , 38.45 , -   , -   , -   , -   , -   
